Date,sentiment
2022-11-02,0.099125
2022-11-03,0.4404
2022-11-04,-0.0516
2022-11-05,0.0
2022-11-07,0.1412
2022-11-08,-0.037075
2022-11-09,-0.06191
2022-11-10,0.100475
2022-11-11,0.17796666666666663
2022-11-13,0.0
2022-11-14,0.36555
2022-11-15,-0.0086
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.39810000000000006
2022-11-20,0.0
2022-11-21,-0.024099999999999972
2022-11-22,0.37895
2022-11-23,0.206
2022-11-24,-0.07945
2022-11-25,0.30086666666666667
2022-11-28,-0.148
2022-11-29,0.1645
2022-11-30,-0.19224000000000002
2022-12-01,0.0
2022-12-02,0.044475
2022-12-04,0.0
2022-12-05,-0.219
2022-12-06,0.2294
2022-12-07,0.06408000000000001
2022-12-08,0.06615
2022-12-09,-0.14175
2022-12-10,0.0
2022-12-12,0.10171428571428572
2022-12-13,0.179375
2022-12-14,-0.058499999999999996
2022-12-15,0.29012
2022-12-17,0.7096
2022-12-18,0.0
2022-12-19,-0.07287500000000001
2022-12-20,0.11175
2022-12-21,-0.038525000000000004
2022-12-22,0.50615
2022-12-23,-0.3708666666666667
2022-12-25,0.31845
2022-12-27,0.133575
2022-12-28,0.0
2022-12-29,0.25354
2022-12-30,-0.4215
2022-12-31,0.19073999999999997
2023-01-02,0.0
2023-01-03,0.085
2023-01-04,-0.1366
2023-01-05,0.2202
2023-01-06,0.0947
2023-01-08,0.0772
2023-01-09,0.5574
2023-01-10,-0.17216666666666666
2023-01-11,-0.19958
2023-01-12,-0.09736666666666667
2023-01-13,-0.06336
2023-01-16,0.3612
2023-01-17,0.0
2023-01-18,0.2626
2023-01-19,-0.0353
2023-01-21,0.0
2023-01-23,0.183775
2023-01-24,0.1909
2023-01-25,0.13486666666666666
2023-01-26,0.0
2023-01-27,0.4404
2023-01-29,0.4939
2023-01-30,-0.09866666666666667
2023-01-31,-0.013374999999999998
2023-02-01,0.4939
2023-02-02,0.0
2023-02-03,0.0
2023-02-06,0.033440000000000004
2023-02-07,0.0
2023-02-08,0.4096333333333333
2023-02-09,0.5719
2023-02-10,-0.05135
2023-02-11,0.0
2023-02-13,0.0
2023-02-14,-0.4767
2023-02-15,0.1909
2023-02-16,0.15216666666666664
2023-02-17,0.26125
2023-02-20,0.1531
2023-02-21,0.24006666666666665
2023-02-22,0.21075
2023-02-23,0.14131666666666667
2023-02-24,-0.20095
2023-02-25,0.0
2023-02-26,0.3818
2023-02-27,0.232325
2023-02-28,0.36345
2023-03-01,0.10115
2023-03-02,0.24635
2023-03-03,0.36846
2023-03-05,0.0
2023-03-07,-0.19783333333333333
2023-03-09,0.29295
2023-03-10,0.0
2023-03-12,0.11333333333333334
2023-03-14,0.0386
2023-03-16,0.0
2023-03-17,0.0
2023-03-19,0.0
2023-03-21,-0.0172
2023-03-22,-0.2732
2023-03-24,0.20095
2023-03-25,0.2553
2023-03-27,0.0
2023-03-28,0.13326666666666667
2023-03-29,-0.22953333333333334
2023-03-31,-0.041220000000000014
2023-04-03,0.19054
2023-04-04,0.5267
2023-04-05,0.10533999999999999
2023-04-06,-0.1468
2023-04-08,-0.296
2023-04-09,0.0
2023-04-10,-0.01840000000000001
2023-04-12,0.07655
2023-04-13,0.165825
2023-04-16,0.0
2023-04-17,0.15293333333333334
2023-04-18,0.0
2023-04-20,0.13396666666666665
2023-04-21,0.5574
2023-04-24,-0.2023
2023-04-25,0.7096
2023-04-27,-0.2108
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,-0.3931
2023-05-03,-0.765
2023-05-04,-0.12040000000000001
2023-05-05,0.1909
2023-05-06,0.6369
2023-05-08,-0.19935
2023-05-09,0.8225
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.8126
2023-05-15,-0.2263
2023-05-16,0.0
2023-05-21,-0.296
2023-05-22,0.0
2023-05-23,0.12498000000000001
2023-05-24,0.0
2023-05-25,0.0
2023-05-28,0.5859
2023-05-31,0.09244999999999999
2023-06-01,0.2612333333333333
2023-06-02,0.025733333333333334
2023-06-05,-0.16094999999999998
2023-06-06,0.6124
2023-06-08,0.0
2023-06-09,-0.0516
2023-06-12,0.125
2023-06-13,0.7783
2023-06-14,0.0
2023-06-15,0.36755
2023-06-16,0.0
2023-06-20,0.61815
2023-06-21,0.0
2023-06-24,0.0
2023-06-28,0.10115
2023-06-29,0.0
2023-06-30,0.17328333333333334
